[2022-11-05 16:35:36] [INFO]: {'enable_float16': False, 'with_test': False, 'fix_BN': False, 'log_iter': 100, 'restore_ckpt_strict': True, 'optimizer_reset': False, 'scheduler_reset': False, 'restore_hint': 0, 'save_iter': 2000, 'save_name': 'spaAlign', 'sync_BN': False, 'total_iter': 40000, 'sampler': {'batch_shuffle': False, 'batch_size': [8, 16], 'frames_num_fixed': 30, 'frames_num_max': 50, 'frames_num_min': 25, 'sample_type': 'unfixed_ordered', 'type': 'TripletSampler', 'frames_skip_num': 0}, 'transform': [{'img_w': 64, 'type': 'BaseSilCuttingTransform'}]}
[2022-11-05 16:35:36] [INFO]: {'model': 'AffineTrans', 'align_cfg': {'h_ratio': 0.4, 'w_ratio': 0.4, 'feat_c': [1, 8, 16, 32]}, 'time_dim': 5, 'in_channels': [1, 32, 64, 128], 'SeparateFCs': {'in_channels': 128, 'out_channels': 256, 'parts_num': 32}, 'SeparateBNNecks': {'class_num': 74, 'in_channels': 256, 'parts_num': 32}, 'bin_num': [32]}
[2022-11-05 16:35:37] [INFO]: [{'loss_term_weights': 1.0, 'margin': 0.2, 'type': 'TripletLoss', 'log_prefix': 'triplet'}, {'loss_term_weights': 0.1, 'scale': 16, 'type': 'CrossEntropyLoss', 'log_prefix': 'softmax', 'log_accuracy': True}, {'loss_term_weights': 0.1, 'type': 'AffineTransformationLossV2', 'alpha': 1.0, 'beta': 0.1, 'log_prefix': 'affine'}]
[2022-11-05 16:35:37] [INFO]: {'dataset_name': 'OccCASIA-BN', 'dataset_root': '/home/pengyunjie/data/casia-bn2/occlusion_occlab64pkl', 'num_workers': 1, 'dataset_partition': './misc/partitions/OccCASIA-BN.json', 'remove_no_gallery': False, 'cache': False, 'test_dataset_name': 'OccCASIA-BN'}
[2022-11-05 16:35:37] [INFO]: -------- Train Pid List --------
[2022-11-05 16:35:37] [INFO]: [001, 002, ..., 074]
[2022-11-05 16:35:41] [INFO]: {'lr': 0.1, 'momentum': 0.9, 'solver': 'SGD', 'weight_decay': 0.0005}
[2022-11-05 16:35:41] [INFO]: {'gamma': 0.1, 'milestones': [10000, 20000, 30000], 'scheduler': 'MultiStepLR'}
[2022-11-05 16:35:42] [INFO]: Parameters Count: 4.98321M
[2022-11-05 16:35:42] [INFO]: Model Initialization Finished!
[2022-11-05 16:36:54] [INFO]: Iteration 00100, Cost 80.30s, triplet_loss=0.1987, triplet_hard_loss=0.8000, triplet_loss_num=205017.5156, triplet_mean_dist=0.2034, softmax_loss=4.2791, softmax_accuracy=0.0502, affine_affineMatrixloss=0.1405, affine_affineTransloss=0.0044, affine_loss_num=343.9200, affine_loss_sum=0.1410
[2022-11-05 16:38:04] [INFO]: Iteration 00200, Cost 70.88s, triplet_loss=0.1981, triplet_hard_loss=1.0241, triplet_loss_num=176072.2188, triplet_mean_dist=0.3769, softmax_loss=3.9452, softmax_accuracy=0.0976, affine_affineMatrixloss=0.0727, affine_affineTransloss=0.0032, affine_loss_num=325.9400, affine_loss_sum=0.0730
[2022-11-05 16:39:16] [INFO]: Iteration 00300, Cost 71.53s, triplet_loss=0.1979, triplet_hard_loss=1.0131, triplet_loss_num=152542.8125, triplet_mean_dist=0.5242, softmax_loss=3.6899, softmax_accuracy=0.1522, affine_affineMatrixloss=0.0539, affine_affineTransloss=0.0029, affine_loss_num=329.6500, affine_loss_sum=0.0542
[2022-11-05 16:40:27] [INFO]: Iteration 00400, Cost 71.06s, triplet_loss=0.1974, triplet_hard_loss=1.0309, triplet_loss_num=136445.9531, triplet_mean_dist=0.6371, softmax_loss=3.4477, softmax_accuracy=0.2045, affine_affineMatrixloss=0.0526, affine_affineTransloss=0.0026, affine_loss_num=349.9600, affine_loss_sum=0.0529
[2022-11-05 16:41:39] [INFO]: Iteration 00500, Cost 71.97s, triplet_loss=0.1979, triplet_hard_loss=1.0531, triplet_loss_num=122551.6562, triplet_mean_dist=0.7343, softmax_loss=3.2918, softmax_accuracy=0.2444, affine_affineMatrixloss=0.0498, affine_affineTransloss=0.0028, affine_loss_num=344.7900, affine_loss_sum=0.0501
[2022-11-05 16:42:49] [INFO]: Iteration 00600, Cost 70.09s, triplet_loss=0.1972, triplet_hard_loss=1.0690, triplet_loss_num=113062.1016, triplet_mean_dist=0.8034, softmax_loss=3.0976, softmax_accuracy=0.2935, affine_affineMatrixloss=0.0480, affine_affineTransloss=0.0028, affine_loss_num=335.3000, affine_loss_sum=0.0483
[2022-11-05 16:44:01] [INFO]: Iteration 00700, Cost 71.42s, triplet_loss=0.1972, triplet_hard_loss=1.0838, triplet_loss_num=100933.6328, triplet_mean_dist=0.8940, softmax_loss=2.8813, softmax_accuracy=0.3575, affine_affineMatrixloss=0.0474, affine_affineTransloss=0.0030, affine_loss_num=343.5000, affine_loss_sum=0.0477
[2022-11-05 16:45:11] [INFO]: Iteration 00800, Cost 70.57s, triplet_loss=0.1976, triplet_hard_loss=1.0868, triplet_loss_num=98773.5703, triplet_mean_dist=0.9312, softmax_loss=2.8592, softmax_accuracy=0.3727, affine_affineMatrixloss=0.0463, affine_affineTransloss=0.0029, affine_loss_num=335.3700, affine_loss_sum=0.0465
[2022-11-05 16:46:22] [INFO]: Iteration 00900, Cost 70.87s, triplet_loss=0.1978, triplet_hard_loss=1.1026, triplet_loss_num=91789.7109, triplet_mean_dist=0.9898, softmax_loss=2.6977, softmax_accuracy=0.4149, affine_affineMatrixloss=0.0466, affine_affineTransloss=0.0030, affine_loss_num=344.5500, affine_loss_sum=0.0469
[2022-11-05 16:47:32] [INFO]: Iteration 01000, Cost 69.86s, triplet_loss=0.1975, triplet_hard_loss=1.0996, triplet_loss_num=85397.3984, triplet_mean_dist=1.0487, softmax_loss=2.5713, softmax_accuracy=0.4528, affine_affineMatrixloss=0.0460, affine_affineTransloss=0.0030, affine_loss_num=341.8500, affine_loss_sum=0.0463
[2022-11-05 16:48:42] [INFO]: Iteration 01100, Cost 69.74s, triplet_loss=0.1974, triplet_hard_loss=1.1137, triplet_loss_num=83034.8594, triplet_mean_dist=1.0722, softmax_loss=2.5428, softmax_accuracy=0.4577, affine_affineMatrixloss=0.0463, affine_affineTransloss=0.0030, affine_loss_num=341.9600, affine_loss_sum=0.0466
[2022-11-05 16:49:54] [INFO]: Iteration 01200, Cost 72.25s, triplet_loss=0.1969, triplet_hard_loss=1.1169, triplet_loss_num=80383.3281, triplet_mean_dist=1.0958, softmax_loss=2.4865, softmax_accuracy=0.4778, affine_affineMatrixloss=0.0463, affine_affineTransloss=0.0029, affine_loss_num=328.4200, affine_loss_sum=0.0466
[2022-11-05 16:51:04] [INFO]: Iteration 01300, Cost 70.24s, triplet_loss=0.1978, triplet_hard_loss=1.1229, triplet_loss_num=77825.6172, triplet_mean_dist=1.1280, softmax_loss=2.4053, softmax_accuracy=0.5034, affine_affineMatrixloss=0.0459, affine_affineTransloss=0.0030, affine_loss_num=346.1600, affine_loss_sum=0.0462
[2022-11-05 16:52:14] [INFO]: Iteration 01400, Cost 70.37s, triplet_loss=0.1977, triplet_hard_loss=1.1161, triplet_loss_num=78249.4531, triplet_mean_dist=1.1351, softmax_loss=2.3934, softmax_accuracy=0.5077, affine_affineMatrixloss=0.0456, affine_affineTransloss=0.0030, affine_loss_num=340.0400, affine_loss_sum=0.0459
[2022-11-05 16:53:25] [INFO]: Iteration 01500, Cost 70.83s, triplet_loss=0.1978, triplet_hard_loss=1.1203, triplet_loss_num=75392.1016, triplet_mean_dist=1.1612, softmax_loss=2.3695, softmax_accuracy=0.5142, affine_affineMatrixloss=0.0455, affine_affineTransloss=0.0030, affine_loss_num=338.5300, affine_loss_sum=0.0458
[2022-11-05 16:54:36] [INFO]: Iteration 01600, Cost 70.51s, triplet_loss=0.1971, triplet_hard_loss=1.1337, triplet_loss_num=72327.7266, triplet_mean_dist=1.1855, softmax_loss=2.3043, softmax_accuracy=0.5397, affine_affineMatrixloss=0.0455, affine_affineTransloss=0.0030, affine_loss_num=337.5600, affine_loss_sum=0.0458
[2022-11-05 16:55:47] [INFO]: Iteration 01700, Cost 70.91s, triplet_loss=0.1973, triplet_hard_loss=1.1334, triplet_loss_num=70033.8984, triplet_mean_dist=1.2144, softmax_loss=2.2331, softmax_accuracy=0.5584, affine_affineMatrixloss=0.0453, affine_affineTransloss=0.0030, affine_loss_num=339.5300, affine_loss_sum=0.0456
[2022-11-05 16:56:57] [INFO]: Iteration 01800, Cost 69.91s, triplet_loss=0.1979, triplet_hard_loss=1.1427, triplet_loss_num=67990.3906, triplet_mean_dist=1.2329, softmax_loss=2.2635, softmax_accuracy=0.5497, affine_affineMatrixloss=0.0456, affine_affineTransloss=0.0030, affine_loss_num=348.0200, affine_loss_sum=0.0459
[2022-11-05 16:58:07] [INFO]: Iteration 01900, Cost 70.25s, triplet_loss=0.1966, triplet_hard_loss=1.1322, triplet_loss_num=67004.9219, triplet_mean_dist=1.2453, softmax_loss=2.2131, softmax_accuracy=0.5656, affine_affineMatrixloss=0.0451, affine_affineTransloss=0.0030, affine_loss_num=334.8700, affine_loss_sum=0.0454
[2022-11-05 16:59:17] [INFO]: Iteration 02000, Cost 70.25s, triplet_loss=0.1971, triplet_hard_loss=1.1318, triplet_loss_num=65599.6641, triplet_mean_dist=1.2685, softmax_loss=2.2186, softmax_accuracy=0.5614, affine_affineMatrixloss=0.0450, affine_affineTransloss=0.0030, affine_loss_num=338.8200, affine_loss_sum=0.0453
