[2023-04-13 10:23:36] [INFO]: {'enable_float16': True, 'with_test': False, 'fix_BN': False, 'log_iter': 100, 'restore_ckpt_strict': True, 'optimizer_reset': False, 'scheduler_reset': False, 'restore_hint': 0, 'save_iter': 2000, 'save_name': 'spaAlignTemOccRecover', 'sync_BN': False, 'total_iter': 40000, 'sampler': {'batch_shuffle': False, 'batch_size': [8, 16], 'frames_num_fixed': 30, 'frames_num_max': 50, 'frames_num_min': 25, 'sample_type': 'unfixed_ordered', 'type': 'TripletSampler', 'frames_skip_num': 0}, 'transform': [{'img_w': 64, 'type': 'BaseSilCuttingTransform'}]}
[2023-04-13 10:23:36] [INFO]: {'model': 'SpatialAlignTemporalOcclusionRecover', 'align_cfg': {'h_ratio': 0.4, 'w_ratio': 0.4, 'feat_c': [1, 8, 16, 32]}, 'time_dim': 5, 'in_channels': [1, 32, 64, 128], 'MaskedReconModule': {'depth': 2, 'parts': 8, 'cycle': 25, 'block_cfg': {'dim': 128, 'num_heads': 4, 'mlp_ratio': 1, 'qkv_bias': True, 'drop': 0}}, 'SeparateFCs': {'in_channels': 128, 'out_channels': 256, 'parts_num': 32}, 'SeparateBNNecks': {'class_num': 74, 'in_channels': 256, 'parts_num': 32}, 'bin_num': [32]}
[2023-04-13 10:23:37] [INFO]: [{'loss_term_weights': 1.0, 'margin': 0.2, 'type': 'TripletLoss', 'log_prefix': 'triplet'}, {'loss_term_weights': 0.1, 'scale': 16, 'type': 'CrossEntropyLoss', 'log_prefix': 'softmax', 'log_accuracy': True}, {'loss_term_weights': 0.1, 'type': 'AffineTransformationLoss', 'alpha': 1.0, 'beta': 0.1, 'log_prefix': 'affine'}, {'loss_term_weights': 0.2, 'in_c': 128, 'type': 'NonOccRecMSELoss', 'log_prefix': 'nonOccRecMSE'}]
[2023-04-13 10:23:37] [INFO]: {'dataset_name': 'OccCASIA-B', 'dataset_root': '/home/pengyunjie/data/OccCASIA-B/occlusionwithOccLab64pkl', 'num_workers': 1, 'dataset_partition': './misc/partitions/OccCASIA-B_clean.json', 'remove_no_gallery': False, 'cache': False, 'test_dataset_name': 'OccCASIA-B'}
[2023-04-13 10:23:37] [INFO]: -------- Train Pid List --------
[2023-04-13 10:23:37] [INFO]: [001, 002, ..., 074]
[2023-04-13 10:23:43] [INFO]: {'lr': 0.1, 'momentum': 0.9, 'solver': 'SGD', 'weight_decay': 0.0005}
[2023-04-13 10:23:43] [INFO]: {'gamma': 0.1, 'milestones': [10000, 20000, 30000], 'scheduler': 'MultiStepLR'}
[2023-04-13 10:23:44] [INFO]: Parameters Count: 8.14942M
[2023-04-13 10:23:44] [INFO]: Model Initialization Finished!
[2023-04-13 10:26:40] [INFO]: Iteration 00100, Cost 187.55s, triplet_loss=0.2036, triplet_hard_loss=0.8944, triplet_loss_num=194645.2656, triplet_mean_dist=0.2742, softmax_loss=4.2694, softmax_accuracy=0.0543, affine_affineMatrixloss=0.1326, affine_affineTransloss=0.0037, affine_loss_num=350.9500, affine_loss_sum=0.1330, nonOccRecMSE_occ=0.8447, nonOccRecMSE_nonOcc=0.7544, nonOccRecMSE_loss=0.7544
[2023-04-13 10:29:27] [INFO]: Iteration 00200, Cost 167.36s, triplet_loss=0.2140, triplet_hard_loss=1.1311, triplet_loss_num=165199.9844, triplet_mean_dist=0.4790, softmax_loss=3.9966, softmax_accuracy=0.0918, affine_affineMatrixloss=0.1009, affine_affineTransloss=0.0037, affine_loss_num=335.0900, affine_loss_sum=0.1012, nonOccRecMSE_occ=0.8130, nonOccRecMSE_nonOcc=0.7158, nonOccRecMSE_loss=0.7158
[2023-04-13 10:32:15] [INFO]: Iteration 00300, Cost 167.44s, triplet_loss=0.2177, triplet_hard_loss=1.1470, triplet_loss_num=139181.1719, triplet_mean_dist=0.6724, softmax_loss=3.7399, softmax_accuracy=0.1405, affine_affineMatrixloss=0.0559, affine_affineTransloss=0.0028, affine_loss_num=356.7600, affine_loss_sum=0.0562, nonOccRecMSE_occ=0.8320, nonOccRecMSE_nonOcc=0.7314, nonOccRecMSE_loss=0.7314
[2023-04-13 10:35:02] [INFO]: Iteration 00400, Cost 167.54s, triplet_loss=0.2162, triplet_hard_loss=1.1652, triplet_loss_num=122623.7578, triplet_mean_dist=0.8013, softmax_loss=3.4901, softmax_accuracy=0.2038, affine_affineMatrixloss=0.0523, affine_affineTransloss=0.0028, affine_loss_num=341.3000, affine_loss_sum=0.0526, nonOccRecMSE_occ=0.8252, nonOccRecMSE_nonOcc=0.7368, nonOccRecMSE_loss=0.7368
[2023-04-13 10:37:48] [INFO]: Iteration 00500, Cost 165.23s, triplet_loss=0.2135, triplet_hard_loss=1.1681, triplet_loss_num=111713.3203, triplet_mean_dist=0.8907, softmax_loss=3.2569, softmax_accuracy=0.2553, affine_affineMatrixloss=0.0493, affine_affineTransloss=0.0029, affine_loss_num=347.6900, affine_loss_sum=0.0496, nonOccRecMSE_occ=0.8120, nonOccRecMSE_nonOcc=0.7173, nonOccRecMSE_loss=0.7173
[2023-04-13 10:40:35] [INFO]: Iteration 00600, Cost 167.76s, triplet_loss=0.2117, triplet_hard_loss=1.1566, triplet_loss_num=105969.5625, triplet_mean_dist=0.9395, softmax_loss=3.1320, softmax_accuracy=0.2905, affine_affineMatrixloss=0.0492, affine_affineTransloss=0.0028, affine_loss_num=346.8700, affine_loss_sum=0.0495, nonOccRecMSE_occ=0.7964, nonOccRecMSE_nonOcc=0.7144, nonOccRecMSE_loss=0.7144
[2023-04-13 10:43:23] [INFO]: Iteration 00700, Cost 167.75s, triplet_loss=0.2089, triplet_hard_loss=1.1572, triplet_loss_num=98381.6719, triplet_mean_dist=0.9969, softmax_loss=2.9803, softmax_accuracy=0.3311, affine_affineMatrixloss=0.0474, affine_affineTransloss=0.0029, affine_loss_num=347.4300, affine_loss_sum=0.0477, nonOccRecMSE_occ=0.7832, nonOccRecMSE_nonOcc=0.7021, nonOccRecMSE_loss=0.7021
[2023-04-13 10:46:09] [INFO]: Iteration 00800, Cost 165.83s, triplet_loss=0.2074, triplet_hard_loss=1.1388, triplet_loss_num=98965.7422, triplet_mean_dist=0.9827, softmax_loss=2.9625, softmax_accuracy=0.3406, affine_affineMatrixloss=0.0492, affine_affineTransloss=0.0026, affine_loss_num=344.9000, affine_loss_sum=0.0495, nonOccRecMSE_occ=0.7812, nonOccRecMSE_nonOcc=0.7095, nonOccRecMSE_loss=0.7095
[2023-04-13 10:48:55] [INFO]: Iteration 00900, Cost 165.97s, triplet_loss=0.2058, triplet_hard_loss=1.1507, triplet_loss_num=87445.9062, triplet_mean_dist=1.0732, softmax_loss=2.7430, softmax_accuracy=0.3971, affine_affineMatrixloss=0.0469, affine_affineTransloss=0.0029, affine_loss_num=350.4600, affine_loss_sum=0.0472, nonOccRecMSE_occ=0.7612, nonOccRecMSE_nonOcc=0.6899, nonOccRecMSE_loss=0.6899
[2023-04-13 10:51:41] [INFO]: Iteration 01000, Cost 166.11s, triplet_loss=0.2030, triplet_hard_loss=1.1419, triplet_loss_num=83679.7422, triplet_mean_dist=1.1118, softmax_loss=2.6425, softmax_accuracy=0.4336, affine_affineMatrixloss=0.0469, affine_affineTransloss=0.0030, affine_loss_num=340.6700, affine_loss_sum=0.0472, nonOccRecMSE_occ=0.7573, nonOccRecMSE_nonOcc=0.6782, nonOccRecMSE_loss=0.6782
[2023-04-13 10:54:27] [INFO]: Iteration 01100, Cost 165.69s, triplet_loss=0.2032, triplet_hard_loss=1.1465, triplet_loss_num=82585.0547, triplet_mean_dist=1.1181, softmax_loss=2.6222, softmax_accuracy=0.4393, affine_affineMatrixloss=0.0467, affine_affineTransloss=0.0030, affine_loss_num=346.2300, affine_loss_sum=0.0470, nonOccRecMSE_occ=0.7534, nonOccRecMSE_nonOcc=0.6851, nonOccRecMSE_loss=0.6851
